path,currentWidth,currentHeight,currentBytes,currentType,originalMatch,originalPath,originalWidth,originalHeight,originalBytes,originalType,sameBytes,better,improvementRatio,lowForHero,usedByTourImageRefs,usedFields
images/tour-photos/Tanzania/06/02.webp,1024,444,90671,JPEG,false,,0,0,0,,false,false,0,true,7,image1|image2|image3|image4|image5|image6|mainPhoto
images/tour-photos/Tanzania/06/03.webp,1024,444,94180,JPEG,false,,0,0,0,,false,false,0,true,7,image1|image2|image3|image4|image5|image6|mainPhoto
images/tour-photos/Tanzania/06/04.webp,1024,444,88788,JPEG,false,,0,0,0,,false,false,0,true,7,image1|image2|image3|image4|image5|image6|mainPhoto
images/tour-photos/Tanzania/06/05.webp,1024,444,105262,JPEG,false,,0,0,0,,false,false,0,true,7,image1|image2|image3|image4|image5|image6|mainPhoto
images/tour-photos/Tanzania/06/06.webp,1024,444,66442,JPEG,false,,0,0,0,,false,false,0,true,7,image1|image2|image3|image4|image5|image6|mainPhoto
images/tour-photos/Tanzania/07/01.webp,1024,444,102865,JPEG,false,,0,0,0,,false,false,0,true,7,image1|image2|image3|image4|image5|image6|mainPhoto
images/tour-photos/Tanzania/07/02.webp,1024,444,88972,JPEG,false,,0,0,0,,false,false,0,true,7,image1|image2|image3|image4|image5|image6|mainPhoto
images/tour-photos/Tanzania/07/03.webp,1024,444,67636,JPEG,false,,0,0,0,,false,false,0,true,7,image1|image2|image3|image4|image5|image6|mainPhoto
images/tour-photos/Tanzania/07/04.webp,1024,444,77828,JPEG,false,,0,0,0,,false,false,0,true,7,image1|image2|image3|image4|image5|image6|mainPhoto
images/tour-photos/Tanzania/07/05.webp,1024,444,88474,JPEG,false,,0,0,0,,false,false,0,true,7,image1|image2|image3|image4|image5|image6|mainPhoto
images/tour-photos/Tanzania/07/06.webp,1024,444,73960,JPEG,false,,0,0,0,,false,false,0,true,7,image1|image2|image3|image4|image5|image6|mainPhoto
images/tour-photos/Tanzania/08/01.webp,1024,444,120528,JPEG,false,,0,0,0,,false,false,0,true,7,image1|image2|image3|image4|image5|image6|mainPhoto
images/tour-photos/Tanzania/08/02.webp,1024,444,77091,JPEG,false,,0,0,0,,false,false,0,true,7,image1|image2|image3|image4|image5|image6|mainPhoto
images/tour-photos/Tanzania/08/03.webp,1024,444,47837,JPEG,false,,0,0,0,,false,false,0,true,7,image1|image2|image3|image4|image5|image6|mainPhoto
images/tour-photos/Tanzania/08/04.webp,1024,444,91223,JPEG,false,,0,0,0,,false,false,0,true,7,image1|image2|image3|image4|image5|image6|mainPhoto
